	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
GMEB2	180	133	406
STMN3	17	12	31
RTEL1	2	0	7
RTEL1-TNFRSF6B	1	0	0
TNFRSF6B	0	0	1
ARFRP1	327	301	884
ZGPAT	228	126	371
LIME1	25	13	29
SLC2A4RG	239	177	511
ZBTB46	12	10	22
ABHD16B	0	0	0
TPD52L2	1924	1921	5540
DNAJC5	1717	1312	3848
MIR941-1	1	0	0
MIR941-3	0	0	0
MIR941-4	0	0	0
MIR941-2	0	0	0
UCKL1	372	232	706
MIR1914	2	0	8
MIR647	1	6	12
UCKL1-AS1	3	1	12
ZNF512B	394	285	903
SAMD10	41	28	124
PRPF6	989	1002	2817
SOX18	0	0	1
TCEA2	47	22	132
RGS19	138	76	284
OPRL1	11	6	18
NPBWR2	0	0	0
MYT1	0	0	0
PCMTD2	159	146	395
LINC00266-1	0	0	0
TEKT4P2	12	14	31
TPTE	0	0	0
BAGE4	0	0	0
BAGE2	0	0	0
BAGE3	0	0	0
BAGE5	0	0	0
BAGE	0	0	0
ANKRD30BP2	0	0	0
MIR3156-3	0	0	0
POTED	0	0	0
ANKRD20A11P	0	0	0
LIPI	0	0	0
RBM11	3	2	7
ABCC13	0	0	0
HSPA13	154	225	548
SAMSN1	1	0	0
SAMSN1-AS1	0	0	0
LOC388813	0	0	0
NRIP1	774	885	2241
USP25	461	494	1391
MIR99A	0	0	0
MIRLET7C	0	0	0
MIR125B2	0	0	0
CXADR	270	235	635
BTG3	284	269	783
C21orf91-OT1	0	0	0
C21orf91	160	162	369
CHODL-AS1	0	0	0
CHODL	4	3	24
TMPRSS15	0	0	0
LINC00320	0	0	0
NCAM2	0	1	10
LINC00317	0	0	0
LINC00308	0	0	0
D21S2088E	0	0	0
LINC00158	0	0	0
MIR155HG	0	0	1
MIR155	0	0	0
LINC00515	0	4	2
MRPL39	278	308	921
JAM2	0	0	0
GABPA	359	408	1052
APP	20876	21977	61872
CYYR1	11	12	31
ADAMTS1	2147	2282	7372
ADAMTS5	1	0	0
MIR4759	0	0	0
MIR5009	0	0	0
LINC00113	7	5	22
LINC00314	0	0	0
LINC00161	0	0	0
N6AMT1	35	36	109
LTN1	261	266	787
RWDD2B	188	209	628
USP16	366	368	987
CCT8	2096	2155	6060
LINC00189	1	0	0
BACH1	319	396	1020
GRIK1	0	0	0
GRIK1-AS2	2	1	5
GRIK1-AS1	0	0	0
CLDN17	0	0	0
LINC00307	0	0	0
CLDN8	9	4	23
KRTAP24-1	0	0	0
KRTAP25-1	0	0	0
KRTAP26-1	0	0	0
KRTAP27-1	0	0	0
KRTAP23-1	0	0	0
KRTAP13-2	0	0	0
MIR4327	0	0	0
KRTAP13-1	0	0	0
KRTAP13-3	0	0	0
KRTAP13-4	0	0	0
KRTAP15-1	0	0	0
KRTAP19-1	1	1	3
KRTAP19-2	0	0	0
KRTAP19-3	0	0	0
KRTAP19-4	0	0	0
KRTAP19-5	0	0	0
KRTAP19-6	0	0	0
KRTAP19-7	0	0	0
KRTAP22-2	0	0	0
KRTAP6-3	0	0	0
KRTAP6-2	0	0	0
KRTAP22-1	0	0	0
KRTAP6-1	0	0	0
KRTAP20-1	0	0	0
KRTAP20-4	0	0	0
KRTAP20-2	0	0	0
KRTAP20-3	0	0	0
KRTAP21-3	0	0	0
KRTAP21-2	0	0	5
KRTAP21-1	0	0	0
KRTAP8-1	0	0	0
KRTAP7-1	0	0	0
KRTAP11-1	0	0	0
KRTAP19-8	0	0	0
TIAM1	119	111	371
SOD1	2878	2185	6995
SCAF4	605	616	1860
HUNK	1	1	0
LINC00159	0	0	0
MIS18A	86	59	239
MRAP	1	1	5
URB1	804	721	2160
EVA1C	59	57	178
TCP10L	2	1	14
SYNJ1	150	153	448
PAXBP1-AS1	4	3	16
PAXBP1	243	256	754
C21orf62	0	0	0
OLIG2	0	0	0
OLIG1	0	0	0
IFNAR2	142	197	482
IL10RB	187	165	495
IFNAR1	557	567	1607
IFNGR2	822	907	2485
TMEM50B	219	244	645
DNAJC28	20	14	34
GART	1443	1617	5100
SON	3472	3690	9797
DONSON	81	88	247
CRYZL1	83	108	269
ITSN1	912	893	2755
LINC00649	36	52	131
MRPS6	153	204	540
SLC5A3	147	175	420
LINC00310	0	0	7
KCNE2	0	0	0
KCNE1	0	0	0
RCAN1	366	367	876
CLIC6	9	9	14
LINC00160	1	4	10
RUNX1	796	680	2120
RUNX1-IT1	2	2	1
LOC100506403	0	0	0
MIR802	0	0	0
SETD4	137	110	369
LOC100133286	4	1	8
CBR1	882	735	2259
CBR3-AS1	15	4	15
CBR3	19	14	36
MORC3	732	724	2217
CHAF1B	96	83	274
CLDN14	0	2	4
SIM2	5	10	32
HLCS	192	190	605
PIGP	43	54	138
TTC3	2112	2209	6070
DSCR9	2	1	4
DYRK1A	447	529	1460
KCNJ6	1	0	0
DSCR4	0	0	0
DSCR8	0	0	0
DSCR10	0	0	0
KCNJ15	510	556	1656
ERG	12	13	26
LINC00114	0	0	0
ETS2	2145	2126	5344
PSMG1	125	123	368
BRWD1	603	608	1449
BRWD1-AS1	0	1	0
HMGN1	4438	5516	14433
WRB	72	77	271
LCA5L	7	4	22
SH3BGR	47	42	150
B3GALT5	5	3	4
IGSF5	0	0	0
PCP4	0	0	0
DSCAM	13	21	36
MIR4760	0	0	0
DSCAM-AS1	0	0	1
DSCAM-IT1	0	0	0
LINC00323	0	0	0
MIR3197	0	0	0
BACE2	851	890	2644
PLAC4	2	0	0
FAM3B	0	1	0
MX2	68	62	264
MX1	483	523	1755
TMPRSS2	142	124	387
LINC00111	0	0	0
LINC00479	4	4	8
LINC00112	0	0	0
RIPK4	650	551	1406
PRDM15	194	149	503
C2CD2	252	239	718
ZBTB21	249	251	722
ZNF295-AS1	0	0	0
UMODL1	0	0	0
ABCG1	278	248	679
TFF3	21	7	41
TFF2	0	0	0
TFF1	0	0	0
TMPRSS3	0	0	0
UBASH3A	0	0	0
RSPH1	24	34	66
SLC37A1	297	250	899
PDE9A	52	34	121
WDR4	115	75	238
NDUFV3	431	427	1210
PKNOX1	178	155	539
CBS	73	46	165
U2AF1	533	673	1929
CRYAA	0	0	0
SIK1	1450	1226	3752
LINC00319	9	6	19
LINC00313	26	24	55
HSF2BP	170	136	448
RRP1B	784	773	2386
PDXK	1965	1609	4889
CSTB	11174	10661	32122
RRP1	303	263	850
AGPAT3	965	854	2576
TRAPPC10	826	774	2382
PWP2	465	402	1253
ICOSLG	49	36	85
DNMT3L	0	0	0
AIRE	0	0	0
PFKL	1449	853	2778
TRPM2	3	0	3
LRRC3	31	29	69
TSPEAR	0	0	0
KRTAP10-1	0	0	0
KRTAP10-2	0	0	0
KRTAP10-3	0	0	0
KRTAP10-4	0	0	0
KRTAP10-5	0	0	0
KRTAP10-6	0	0	0
KRTAP10-7	0	0	0
KRTAP10-8	0	0	0
KRTAP10-9	0	0	0
KRTAP10-10	0	0	0
KRTAP10-11	0	0	0
KRTAP12-4	0	0	0
KRTAP12-3	0	0	0
KRTAP12-2	0	0	1
KRTAP12-1	0	0	0
KRTAP10-12	0	0	0
UBE2G2	1188	1254	3778
SUMO3	1201	1068	3427
PTTG1IP	3531	3094	8001
ITGB2	18	13	27
ITGB2-AS1	6	0	16
FAM207A	112	101	272
LINC00163	0	0	0
SSR4P1	1	0	1
ADARB1	184	147	488
POFUT2	434	426	1140
LOC642852	220	251	652
COL18A1	241	151	435
COL18A1-AS2	0	0	0
COL18A1-AS1	0	0	0
SLC19A1	78	59	181
LOC100129027	0	0	0
PCBP3	4	4	9
COL6A1	209	122	363
COL6A2	20	5	28
FTCD	0	0	0
SPATC1L	51	31	98
LSS	1999	1671	5336
MCM3AP-AS1	24	15	94
MCM3AP	727	720	2250
YBEY	117	140	392
C21orf58	17	15	43
PCNT	327	342	894
DIP2A	630	494	1465
DIP2A-IT1	0	0	7
S100B	0	0	0
PRMT2	1125	1020	3260
POTEH	0	0	0
OR11H1	0	0	0
CCT8L2	0	0	0
TPTEP1	363	356	997
ANKRD62P1-PARP4P3	0	0	3
XKR3	0	0	2
HSFY1P1	0	0	0
GAB4	0	0	0
CECR7	22	17	45
IL17RA	361	409	1065
CECR3	0	0	0
CECR2	0	0	0
SLC25A18	1	3	4
ATP6V1E1	964	1019	2978
BCL2L13	747	758	2232
BID	336	280	889
MIR3198-1	0	2	0
MICAL3	1061	986	2893
MIR648	0	0	0
PEX26	371	354	1044
TUBA8	10	9	34
USP18	34	35	71
GGT3P	0	0	0
DGCR6	14	11	33
PRODH	12	18	23
DGCR5	21	16	67
DGCR9	0	1	8
DGCR10	0	0	0
DGCR2	1204	941	2736
DGCR11	41	49	133
TSSK2	0	0	0
GSC2	0	0	0
SLC25A1	979	771	2585
CLTCL1	273	261	837
HIRA	536	352	1229
MRPL40	472	464	1644
C22orf39	69	98	276
CDC45	49	57	179
CLDN5	0	0	0
sep-05	0	0	0
SEPT5-GP1BB	20	16	39
GP1BB	0	0	0
TBX1	167	145	472
GNB1L	10	5	19
TXNRD2	105	66	259
COMT	866	552	1858
MIR4761	0	0	0
ARVCF	74	39	103
TANGO2	237	211	790
MIR185	0	0	0
DGCR8	353	377	1027
MIR3618	0	0	0
MIR1306	0	0	0
TRMT2A	409	269	791
RANBP1	1293	1282	4056
ZDHHC8	367	189	628
LOC284865	0	0	0
RTN4R	26	9	58
MIR1286	0	0	0
DGCR6L	74	38	166
TMEM191B	0	0	0
PI4KAP1	24	12	48
RIMBP3	2	0	2
ZNF74	76	78	218
SCARF2	5	0	4
KLHL22	217	132	517
MED15	1505	1084	3487
POM121L4P	0	0	0
TMEM191A	10	12	10
PI4KA	504	455	1324
SERPIND1	0	1	5
SNAP29	605	655	1795
CRKL	1346	1383	3843
AIFM3	36	35	76
LZTR1	675	545	1752
THAP7	82	53	207
THAP7-AS1	31	40	96
TUBA3FP	6	4	12
P2RX6	15	9	27
SLC7A4	13	12	34
P2RX6P	0	0	0
BCRP2	0	0	0
POM121L8P	0	0	0
RIMBP3C	0	0	0
RIMBP3B	0	0	0
HIC2	93	61	170
TMEM191C	3	1	3
PI4KAP2	20	19	65
UBE2L3	3116	3610	10761
YDJC	135	97	356
CCDC116	1	1	1
SDF2L1	46	21	98
MIR301B	0	0	0
MIR130B	0	0	0
PPIL2	786	635	2104
YPEL1	3	5	19
MAPK1	1165	1282	3526
PPM1F	407	310	975
TOP3B	312	230	711
VPREB1	0	0	0
ZNF280B	17	14	21
ZNF280A	0	2	8
PRAME	1	0	0
POM121L1P	0	0	0
GGTLC2	0	0	0
MIR650	0	0	0
IGLL5	0	0	0
GNAZ	0	0	0
RAB36	44	39	127
BCR	1159	849	2821
FBXW4P1	6	2	12
CES5AP1	0	0	0
ZDHHC8P1	6	5	12
IGLL1	0	0	0
GUSBP11	85	87	193
RGL4	0	1	8
ZNF70	25	44	117
VPREB3	0	0	0
C22orf15	0	1	6
CHCHD10	162	152	455
MMP11	4	5	6
SMARCB1	446	428	1255
DERL3	8	3	1
SLC2A11	38	40	135
MIF	2321	1214	4560
GSTT2	81	76	225
GSTT2B	0	0	0
DDTL	8	9	37
DDT	284	304	1013
LOC391322	0	0	0
GSTT1	0	0	0
GSTTP2	0	0	0
CABIN1	774	679	2056
SUSD2	8	8	20
GGT5	1	0	0
POM121L9P	0	0	0
SPECC1L	666	728	2153
ADORA2A	4	0	2
ADORA2A-AS1	0	0	0
UPB1	0	0	0
GUCD1	812	766	2247
SNRPD3	3585	3629	10319
GGT1	133	84	233
BCRP3	7	7	9
POM121L10P	0	0	1
PIWIL3	0	0	0
TOP1P2	0	0	0
SGSM1	4	0	6
TMEM211	0	0	0
KIAA1671	952	919	2666
LOC100128531	0	0	1
CRYBB3	4	2	1
CRYBB2	1	1	1
IGLL3P	0	0	0
LRP5L	28	24	118
CRYBB2P1	260	260	736
MYO18B	0	0	0
SEZ6L	0	0	0
ASPHD2	97	85	200
HPS4	367	290	994
SRRD	210	268	569
TFIP11	510	537	1629
TPST2	196	215	505
MIR548J	0	0	0
CRYBB1	0	0	0
CRYBA4	0	0	0
MIAT	8	13	36
MN1	163	147	494
PITPNB	346	386	1216
TTC28-AS1	37	29	128
MIR3199-1	0	0	0
MIR3199-2	0	0	0
TTC28	95	108	273
CHEK2	130	131	403
HSCB	54	45	119
CCDC117	162	239	604
XBP1	582	611	1834
ZNRF3	57	73	190
ZNRF3-AS1	1	1	1
C22orf31	0	0	0
KREMEN1	415	420	1090
EMID1	0	0	0
RHBDD3	101	68	209
EWSR1	2905	3058	9522
GAS2L1	209	122	528
RASL10A	0	0	1
AP1B1	1476	1132	3658
SNORD125	0	0	0
RFPL1	0	0	0
NEFH	21	24	51
THOC5	422	459	1501
NIPSNAP1	1425	1737	4653
NF2	629	571	1760
CABP7	2	1	5
ZMAT5	105	79	219
UQCR10	2105	1099	4129
ASCC2	984	801	2677
MTMR3	847	870	2551
HORMAD2	0	0	0
LIF	1134	979	2791
OSM	0	0	0
TBC1D10A	310	218	731
SF3A1	1250	1257	4007
CCDC157	16	5	15
KIAA1656	38	38	101
RNF215	143	115	352
SEC14L2	2008	2049	5957
MTFP1	109	76	223
SEC14L3	0	0	0
SDC4P	0	0	0
SEC14L4	5	9	25
SEC14L6	0	1	0
GAL3ST1	1	0	0
PES1	1370	1187	3774
TCN2	31	21	76
SLC35E4	50	30	90
DUSP18	64	59	155
OSBP2	121	106	323
MIR3200	0	0	0
MORC2-AS1	0	0	0
MORC2	868	835	2602
TUG1	1891	1924	5208
SMTN	1523	962	3276
INPP5J	7	1	26
PLA2G3	5	5	9
MIR3928	0	0	0
RNF185	451	476	1347
LIMK2	2708	2581	8070
PIK3IP1	784	848	2118
PATZ1	81	51	203
DRG1	300	299	913
EIF4ENIF1	342	419	1160
SFI1	144	101	346
PISD	586	552	1525
PRR14L	804	740	2221
DEPDC5	105	114	356
C22orf24	1	1	1
YWHAH	2309	2636	7468
SLC5A1	13	16	32
AP1B1P1	0	0	0
C22orf42	0	0	0
RFPL2	1	2	2
SLC5A4	0	0	0
RFPL3	1	0	0
RFPL3S	10	12	29
LOC339666	1	0	0
BPIFC	0	0	0
FBXO7	873	896	2736
SYN3	0	0	0
TIMP3	1846	2003	5921
MIR4764	0	0	0
ISX	0	0	0
HMGXB4	441	464	1321
TOM1	567	486	1449
MIR3909	0	1	0
HMOX1	147	112	429
MCM5	183	126	421
RASD2	54	31	128
MB	1	0	10
APOL6	327	344	1018
APOL5	0	0	0
RBFOX2	2498	2722	8109
APOL3	15	19	77
APOL4	3	0	0
APOL2	1135	1137	3062
APOL1	777	825	2368
MYH9	22639	15673	49499
TXN2	1263	1037	3290
FOXRED2	30	18	61
EIF3D	3004	3143	9562
CACNG2	0	0	0
IFT27	75	54	130
PVALB	0	0	0
NCF4	6	5	7
CSF2RB	0	0	0
TEX33	0	0	0
TST	172	88	272
MPST	257	178	510
KCTD17	107	79	314
TMPRSS6	0	0	1
IL2RB	3	1	10
C1QTNF6	218	208	626
SSTR3	0	0	0
RAC2	3462	2374	7796
CYTH4	4	1	3
ELFN2	240	203	637
MFNG	32	37	115
CARD10	613	393	1253
CDC42EP1	1136	659	2440
LGALS2	0	0	0
GGA1	685	469	1564
SH3BP1	726	553	1944
PDXP	54	33	141
LGALS1	6968	5042	17473
NOL12	203	156	440
TRIOBP	1500	1240	3983
H1F0	1481	1307	3722
GCAT	38	28	99
GALR3	0	0	0
ANKRD54	167	184	442
MIR658	0	0	0
MIR659	1	0	0
EIF3L	2696	2941	9202
MICALL1	2403	1967	5948
C22orf23	21	16	51
POLR2F	408	291	1018
SOX10	0	0	0
MIR4534	0	0	0
PICK1	368	246	864
SLC16A8	0	0	1
BAIAP2L2	7	0	4
PLA2G6	45	54	161
MAFF	442	444	1390
TMEM184B	1337	887	2872
CSNK1E	1730	1502	4644
KCNJ4	0	0	0
KDELR3	107	71	274
DDX17	3631	4064	11228
DMC1	1	1	5
FAM227A	37	35	121
CBY1	348	329	1012
TOMM22	773	711	2263
JOSD1	797	909	2522
GTPBP1	465	458	1315
SUN2	890	621	1685
DNAL4	191	200	581
NPTXR	18	10	45
CBX6	202	165	414
APOBEC3A_B	0	0	0
APOBEC3A	4	1	4
APOBEC3B	32	20	106
APOBEC3C	893	846	2530
APOBEC3D	21	13	45
APOBEC3F	84	115	289
APOBEC3G	27	26	77
APOBEC3H	7	3	16
CBX7	40	41	97
PDGFB	245	193	675
RPL3	10331	9022	29157
SNORD83B	10	4	21
SNORD83A	17	13	34
SNORD43	16	15	57
SYNGR1	24	10	41
TAB1	338	247	788
LOC100506472	6	2	3
MGAT3	8	6	12
ATF4	2801	3015	8834
RPS19BP1	224	158	539
CACNA1I	1	0	1
ENTHD1	0	0	0
GRAP2	0	0	0
FAM83F	241	207	487
LOC100130899	370	385	1027
TNRC6B	648	579	1931
ADSL	383	375	1214
SGSM3	561	368	1078
MCHR1	2	0	1
SLC25A17	122	119	370
MIR4766	0	0	1
ST13	2955	3486	9858
XPNPEP3	381	384	1172
DNAJB7	0	0	0
RBX1	240	215	737
MIR1281	2	3	1
EP300	1853	1698	5083
L3MBTL2	255	240	747
CHADL	4	4	8
RANGAP1	1747	1351	4109
ZC3H7B	2063	1543	5094
TEF	148	168	490
TOB2	1355	1149	3766
PHF5A	272	257	842
ACO2	1570	1267	3889
POLR3H	353	310	1041
CSDC2	0	0	0
PMM1	230	214	600
DESI1	1148	1035	3149
XRCC6	4428	4955	14493
C22orf46	326	370	960
mei-01	1	2	0
CCDC134	66	39	120
SREBF2	2481	2226	7134
MIR33A	0	0	0
SHISA8	0	0	0
TNFRSF13C	0	2	0
CENPM	12	6	33
LINC00634	0	0	0
sep-03	1	1	11
WBP2NL	1	1	0
NAGA	126	137	429
NDUFA6	491	430	1387
CYP2D6	7	13	33
TCF20	1157	1264	3593
NFAM1	3	2	16
SERHL	2	2	3
RRP7A	532	423	1368
SERHL2	18	21	64
POLDIP3	876	795	2658
RNU12	0	0	0
CYB5R3	4271	2823	9317
A4GALT	1066	762	2219
ARFGAP3	522	473	1463
PACSIN2	963	817	2642
TTLL1	68	64	186
BIK	96	77	251
MCAT	99	96	268
TSPO	644	368	1458
TTLL12	1017	597	2016
SCUBE1	0	0	0
MPPED1	0	0	0
EFCAB6-AS1	0	0	2
EFCAB6	8	10	54
SULT4A1	82	92	195
PNPLA5	0	0	0
PNPLA3	156	151	556
SAMM50	533	541	1669
PARVB	126	94	304
PARVG	0	0	0
LINC00207	0	0	0
LINC00229	0	0	0
PRR5	35	19	68
PRR5-ARHGAP8	0	0	0
ARHGAP8	4	7	24
PHF21B	1	2	0
NUP50	758	823	2180
KIAA0930	2031	1814	5113
MIR1249	0	1	1
UPK3A	0	0	0
FAM118A	161	194	460
SMC1B	1	0	4
RIBC2	3	2	1
FBLN1	1065	754	2158
ATXN10	997	1072	2827
MIR4762	0	0	0
WNT7B	249	214	573
LOC730668	0	0	0
MIRLET7BHG	65	57	243
MIR3619	1	0	2
MIRLET7A3	0	0	0
MIR4763	0	0	0
MIRLET7B	0	0	0
PPARA	170	175	543
CDPF1	104	74	195
PKDREJ	0	0	0
TTC38	89	84	192
GTSE1	49	39	160
TRMU	111	102	311
CELSR1	2276	1698	4627
GRAMD4	295	223	574
CERK	362	408	1001
TBC1D22A	475	385	1163
MIR3201	0	0	0
FAM19A5	0	0	0
LOC284933	0	0	0
MIR4535	0	0	0
C22orf34	0	0	0
BRD1	385	280	774
ZBED4	556	518	1490
ALG12	190	138	402
CRELD2	273	214	545
PIM3	537	397	1087
IL17REL	0	0	0
MLC1	0	0	1
MOV10L1	5	2	11
PANX2	68	36	149
TRABD	325	133	576
TUBGCP6	510	373	1103
HDAC10	131	103	254
MAPK12	202	142	478
MAPK11	199	116	369
PLXNB2	4963	3146	9612
DENND6B	30	17	38
PPP6R2	523	347	1078
SBF1	863	487	1531
ADM2	10	15	36
MIOX	0	0	0
LMF2	500	333	939
NCAPH2	94	70	189
SCO2	146	120	352
TYMP	498	313	893
ODF3B	22	15	45
KLHDC7B	4	6	3
SYCE3	0	0	5
CPT1B	4	0	6
CHKB-CPT1B	0	0	0
CHKB	0	0	0
MAPK8IP2	21	14	50
ARSA	521	303	1037
SHANK3	192	148	406
ACR	0	0	1
RPL23AP82	84	81	369
RABL2B	122	113	308
CHL1	13	10	47
CNTN6	0	0	0
CNTN4	0	0	0
CNTN4-AS2	0	0	0
IL5RA	0	0	0
TRNT1	105	169	412
CRBN	175	167	531
LRRN1	53	61	118
SETMAR	58	68	170
SUMF1	728	763	2113
ITPR1	115	150	383
EGOT	10	6	8
BHLHE40-AS1	0	2	2
BHLHE40	6726	6745	19927
ARL8B	648	663	1892
EDEM1	1239	1287	3724
MIR4790	0	0	0
GRM7	0	0	0
LMCD1-AS1	0	6	10
LMCD1	24	23	54
LINC00312	0	0	5
SSUH2	0	1	4
CAV3	0	0	0
OXTR	5	11	27
RAD18	86	72	237
SRGAP3	359	327	1043
THUMPD3	363	385	993
SETD5	1955	2053	5781
LHFPL4	0	0	3
MTMR14	344	386	1175
CPNE9	0	0	0
BRPF1	328	323	898
OGG1	99	87	275
CAMK1	16	19	49
TADA3	614	511	1682
ARPC4	413	346	1099
ARPC4-TTLL3	0	0	0
TTLL3	39	25	106
RPUSD3	152	139	377
CIDEC	0	0	0
JAGN1	213	177	533
IL17RE	115	138	405
IL17RC	108	95	265
CRELD1	569	448	1396
PRRT3	9	10	57
PRRT3-AS1	19	15	31
EMC3	618	678	1946
CIDECP	57	57	189
FANCD2	90	116	252
FANCD2OS	0	0	0
BRK1	1121	1162	3696
VHL	559	598	1577
IRAK2	193	220	641
TATDN2	435	478	1269
GHRLOS	21	20	66
LINC00852	14	12	38
GHRL	0	0	0
SEC13	1380	1161	3397
ATP2B2	0	0	0
MIR885	0	0	0
LINC00606	0	0	0
SLC6A11	70	68	201
SLC6A1	0	0	0
SLC6A1-AS1	0	0	0
HRH1	84	98	277
ATG7	202	217	719
VGLL4	737	689	1981
TAMM41	113	115	352
SYN2	4	7	3
TIMP4	3	1	8
PPARG	80	92	283
TSEN2	173	196	573
MKRN2	280	307	869
RAF1	760	796	2431
TMEM40	1802	1886	6454
CAND2	1	0	11
RPL32	9094	9220	31024
SNORA7A	0	0	0
IQSEC1	296	317	919
NUP210	3	1	7
HDAC11	324	302	1035
FBLN2	18	7	20
LINC00620	0	0	0
WNT7A	524	387	1333
FGD5P1	0	1	0
TPRXL	22	13	68
CHCHD4	189	184	638
TMEM43	1220	1018	3163
XPC	753	809	2221
LSM3	546	674	1897
SLC6A6	291	306	781
GRIP2	8	3	11
CCDC174	253	289	807
C3orf20	2	8	5
FGD5	0	1	0
FGD5-AS1	714	782	2270
NR2C2	322	374	1074
MRPS25	385	398	1185
COL6A4P1	0	0	1
CAPN7	228	235	752
SH3BP5-AS1	152	141	435
SH3BP5	225	269	755
METTL6	82	80	206
EAF1	410	424	1324
COLQ	12	14	34
MIR4270	0	0	0
HACL1	113	124	324
BTD	81	95	234
ANKRD28	210	225	689
MIR563	0	0	0
GALNT15	0	0	1
DPH3	311	346	1000
OXNAD1	85	87	232
RFTN1	385	392	1216
DAZL	0	1	0
PLCL2	38	50	101
MIR3714	0	0	0
TBC1D5	741	743	2035
LOC339862	0	0	0
SATB1	380	349	1097
KCNH8	0	0	0
MIR4791	0	0	0
EFHB	2	0	1
RAB5A	703	783	2130
PP2D1	0	2	0
KAT2B	65	72	256
VENTXP7	0	0	0
ZNF385D	2	3	16
UBE2E2	627	587	1859
MIR548AC	0	0	0
UBE2E1	729	790	2296
NKIRAS1	101	130	309
RPL15	5959	5516	18077
NR1D2	184	207	511
LINC00691	0	1	4
THRB	132	132	379
THRB-AS1	0	0	0
RARB	197	236	541
TOP2B	1670	1949	5271
MIR4442	13	6	14
NGLY1	198	222	701
OXSM	99	103	268
LINC00692	0	0	0
LRRC3B	0	0	0
NEK10	1	3	14
SLC4A7	442	552	1340
EOMES	4	6	2
CMC1	39	29	83
AZI2	286	229	722
ZCWPW2	7	10	42
LINC00693	0	0	4
RBMS3	62	78	227
TGFBR2	4277	4447	13827
GADL1	0	0	0
STT3B	1312	1445	3599
OSBPL10	287	279	814
OSBPL10-AS1	0	0	0
ZNF860	44	36	90
GPD1L	97	97	272
CMTM8	20	14	34
CMTM7	346	281	1012
CMTM6	983	999	2542
DYNC1LI1	318	302	905
CNOT10	209	272	703
TRIM71	0	0	0
CCR4	0	0	0
GLB1	1409	1465	4205
TMPPE	27	24	81
CRTAP	1731	1797	5208
SUSD5	5	7	18
FBXL2	238	214	632
UBP1	805	939	2434
CLASP2	398	385	1234
PDCD6IP	2787	2836	7961
ARPP21	0	0	0
MIR128-2	0	0	0
STAC	16	15	60
DCLK3	0	0	0
TRANK1	153	150	407
EPM2AIP1	154	159	349
MLH1	266	313	904
LRRFIP2	1143	1186	3612
GOLGA4	2934	3230	8456
C3orf35	5	7	13
ITGA9	1	3	7
CTDSPL	697	779	2356
MIR26A1	1	0	0
VILL	264	251	767
PLCD1	430	339	952
DLEC1	2	4	9
ACAA1	866	764	2250
MYD88	1267	1527	4228
OXSR1	1014	1122	3321
SLC22A13	2	2	1
SLC22A14	5	10	17
XYLB	34	37	79
ACVR2B-AS1	4	4	8
ACVR2B	70	62	165
EXOG	76	70	171
SCN5A	1	1	1
SCN10A	0	0	0
SCN11A	0	2	0
WDR48	417	391	1339
GORASP1	557	496	1507
TTC21A	21	19	76
CSRNP1	105	89	312
XIRP1	0	0	0
CX3CR1	0	0	0
CCR8	0	0	0
SLC25A38	257	282	854
RPSA	9442	10179	28471
SNORA6	8	4	21
SNORA62	21	21	56
MOBP	0	1	0
MYRIP	0	0	0
EIF1B-AS1	7	6	11
EIF1B	579	566	1281
ENTPD3	806	845	2382
ENTPD3-AS1	14	18	42
RPL14	5814	6402	19947
ZNF619	58	71	206
ZNF620	6	4	14
ZNF621	369	407	976
CTNNB1	6009	6024	17995
ULK4	21	29	72
TRAK1	1618	1643	5092
CCK	11	11	10
LYZL4	0	0	0
VIPR1	22	19	102
SEC22C	354	430	1249
SS18L2	54	46	164
NKTR	933	1077	3118
ZBTB47	294	209	622
KLHL40	0	0	0
HHATL	0	0	1
CCDC13	9	9	45
CCDC13-AS1	0	0	0
HIGD1A	2995	3775	10796
CYP8B1	0	0	0
ZNF662	6	11	33
KRBOX1	16	10	22
FAM198A	0	0	4
SNRK	172	170	550
SNRK-AS1	7	10	38
ANO10	438	409	1091
ABHD5	269	392	935
MIR138-1	6	4	16
TOPAZ1	0	0	0
TCAIM	195	196	610
ZNF445	252	249	811
ZKSCAN7	30	29	132
ZNF660	2	0	3
ZNF197	211	177	511
ZNF35	159	181	510
ZNF502	54	62	184
ZNF501	34	42	142
KIAA1143	390	361	1179
KIF15	38	36	95
MIR564	0	0	0
TMEM42	59	41	131
TGM4	35	23	109
ZDHHC3	1909	2149	6576
EXOSC7	395	346	1071
CLEC3B	0	0	0
CDCP1	3410	3528	10179
TMEM158	6	9	34
LARS2	511	533	1563
LARS2-AS1	0	0	0
LIMD1	293	286	751
LIMD1-AS1	3	1	6
SACM1L	380	378	1062
SLC6A20	0	1	1
LZTFL1	65	60	191
CCR9	0	0	3
FYCO1	881	819	2551
CXCR6	0	0	0
XCR1	0	0	0
CCR1	0	0	0
CCR3	0	0	1
CCR2	0	0	0
CCR5	0	0	0
CCRL2	4	3	11
LTF	0	0	0
RTP3	0	0	0
LRRC2	0	2	8
LRRC2-AS1	0	0	1
TDGF1	0	0	0
ALS2CL	2242	1869	5626
TMIE	4	0	11
PRSS50	0	0	0
PRSS45	0	0	0
PRSS42	0	0	0
MYL3	0	0	0
PTH1R	0	0	0
CCDC12	319	191	744
